user_id,yr,week,count,fposemo,fnegemo,fposemoji,fnegemoji,fperiod,fqmark,fexclaim,f3dots,fdeg_adv,fadv_cnt,ffct1,ffct2,ffct3,ffct4,ffct5,ffct6,ffct7,ffct8,ffct9,ffct10,ffct11,ffct12,ffct13,ffct14,ffct15,fsat_mean,fsat_contrast,fbrit_mean,fbrit_contrast,fwarm_cool,fclear_dull,freplies_cnt,fretweets_cnt,flikes_cnt,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,pos,neg,neu,rfamily,rfriend,rposemo,raffect,rleisure,rsad,rdeath,rauxverb,ranger,rnegemo,rposemoji,rnegemoji,label,puser_id,pyr,pweek,pcount,pfunction,ppronoun,pppron,pi,pwe,pyou,pshehe,pthey,pipron,particle,pprep,pauxverb,padverb,pconj,pnegate,pverb,padj,pcompare,pinterrog,pnumber,pquant,paffect,pposemo,pnegemo,panx,panger,psad,psocial,pfamily,pfriend,pfemale,pmale,pcogproc,pinsight,pcause,pdiscrep,ptentat,pcertain,pdiffer,ppercept,psee,phear,pfeel,pbio,pbody,phealth,psexual,pingest,pdrives,paffiliation,pachieve,ppower,preward,prisk,pfocuspast,pfocuspresent,pfocusfuture,prelativ,pmotion,pspace,ptime,pwork,pleisure,phome,pmoney,prelig,pdeath,pinformal,pswear,pnetspeak,passent,pnonflu,pfiller,pperiod,pcomma,pcolon,psemic,pqmark,pexclaim,pdash,pquote,papostro,p3dots,pparenth,pposemoji,pnegemoji,pneuemoji,ppos,pneg,pneu
AbuzarMusic,2017,40,8,3.1249874728435842,1.4487525123243663,3.3148992204714043,0.5117292795726744,12.110103380590571,0.45076252715541837,1.0968463302257696,0.5575249319186226,0.20819714928211303,1.157303328870106,324.2629505781644,396.43123669063846,1341.4056014240941,435.6378308490581,469.9859978831162,1242.7648301072795,446.37074897372116,491.3738249021277,1239.2567690518572,456.19680062392064,509.89571201323844,1231.2984087121345,463.49935469367756,509.12979113373854,1232.583863307355,588.4432592242048,1980.8354706526502,1248.6265270539475,2036.4771463688062,1.337111862326835,7.376355432634183,0.4107504235671993,40173.25653689436,76.35331579440965,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,4,3,3,0,2,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AbuzarMusic,2017,41,6,2.3400629850448516,1.097941637276083,2.4885396257315766,0.3922533070824019,9.097521617764901,0.3370679334121253,0.8140962175525096,0.42489348706197155,0.15589428234634845,0.8597247212481851,243.3337346021749,297.48600701597707,1006.696517535469,326.93615915938693,352.70287807609884,932.6655329634214,334.98978385610235,368.7447966334139,930.0182370498335,342.3592167957338,382.63575001527977,924.0518715599628,347.8476407841335,382.0810104737335,925.0114990171412,441.6022051407401,1486.5351213931178,937.0566282917481,1528.2919403359008,0.9944582497996052,5.547592896426597,0.31712795811803657,30150.932323619236,57.273487807358435,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6,5,2,1,0,1,0,0,0,1,1,3,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,AbuzarMusic,2017,40,8,4,3,3,0,2,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,8
AbuzarMusic,2017,42,8,3.1132673228386576,1.4850105072049538,3.3224368734998264,0.5386786846670778,12.157728449556043,0.4475630160520472,1.0696350182886474,0.5790357291649543,0.20738902025794997,1.1310026842856624,324.69802941003695,396.9493588233808,1343.4525900178685,436.3000209683884,470.6660142925239,1244.6511803161839,447.0454830006117,492.05718210075446,1241.0913319937165,456.8711974847141,510.57759702575106,1233.1406353627956,464.2104276146187,509.8744613402148,1234.4118653319624,589.3029555736066,1983.730814153647,1250.4963775438334,2039.4539535154308,1.3104196402942772,7.425198655267422,0.4396399819529651,40240.14899714804,76.38040737965564,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8,18,9,8,2,0,4,2,0,1,3,1,3,3,4,1,10,1,0,1,1,4,4,3,1,0,0,1,6,1,0,2,1,4,0,0,2,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,1,8,2,4,2,1,0,0,1,1,0,3,0,3,0,0,0,8,1,8,1,0,3,0,0,0,3,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,41,6,5,2,1,0,1,0,0,0,1,1,3,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,1,3,0,0,0,0,0,0,6
AbuzarMusic,2017,43,11,4.321651722390953,1.9153310094084683,4.5420405425277846,0.6466163621575044,16.55064143724541,0.6265670323596124,1.5657291645683926,0.7210907450661617,0.2879806751377607,1.6469310232589058,444.94114889369405,543.9968644086607,1840.102302845898,597.6011559209145,644.7921741218742,1704.811072375854,612.3323817381028,674.1933688420033,1700.097044255062,625.843916031139,699.6640780257234,1689.1380862316573,635.8073397660185,698.4781148998513,1690.9356784599647,807.2907960143393,2717.5236804080178,1712.9058107907244,2793.858648384657,1.894996137847587,10.039161007850169,0.5036660458455798,55096.716910383184,104.92849703831288,3,0,0,1,32,188,19,30,213,12,26,191,20,30,204,15,32,198,18,129,255,93,252,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,0,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,42,8,18,9,8,2,0,4,2,0,1,3,1,3,3,4,1,10,1,0,1,1,4,4,3,1,0,0,1,6,1,0,2,1,4,0,0,2,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,1,8,2,4,2,1,0,0,1,1,0,3,0,3,0,0,0,8,1,8,1,0,3,0,0,0,3,0,1,0,0,1,0,7
AbuzarMusic,2017,44,11,4.295532859798317,1.9961335235207014,4.558838529212046,0.7066742802147079,16.656775968949454,0.619436783101929,1.505087575753207,0.7690284896597739,0.2861797245585989,1.588318896135099,445.91074094003017,545.1515220526001,1844.664105705675,599.0768753212394,646.3076201827685,1709.01488562801,613.836055780459,675.7162599965633,1704.1854473365775,627.3468386842251,701.183688349679,1693.2435682206155,637.3919966097961,700.1376447515687,1695.009460252836,809.2066666142873,2723.976078971965,1717.0728537034502,2800.492592215988,1.8355113633978184,10.148010247834543,0.5680476796576538,55245.78965920591,104.98887181100429,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,11,9,5,2,0,1,1,0,0,3,0,3,3,2,0,1,3,3,0,0,1,0,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,0,4,1,1,2,0,1,0,0,0,0,4,0,3,1,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,10
AbuzarMusic,2017,45,27,10.543176218347877,4.900851653331351,11.19013649830436,1.735494109161028,40.886457182094176,1.5203253319984054,3.6933668630923417,1.8883576757034866,0.7024132552796255,3.8976933474105397,1094.523195955125,1338.1170697887192,4527.882533058161,1470.4842720196955,1586.4148972818225,4194.919813213911,1506.7117841923357,1658.599855744688,4183.06395033891,1539.874603321238,1721.1107654457694,4156.206875148981,1564.5321656606932,1718.5453704706608,4160.540846548208,1986.2642116237614,6686.223015094998,4214.697892756047,6874.039086013426,4.504424981820843,24.91043790252993,1.3952957674600543,135605.6102077168,257.70089295470723,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,4,1,0,1,0,0,0,1,1,4,0,2,0,0,0,0,0,0,27,46,18,12,6,0,6,0,0,6,4,26,9,4,6,1,15,7,4,1,2,4,5,5,0,0,0,0,11,0,1,0,0,9,3,1,3,2,2,2,2,0,1,1,6,0,2,0,5,14,5,3,4,5,1,1,14,1,20,4,12,7,6,9,0,0,1,0,3,0,2,1,0,0,28,9,27,0,0,2,3,0,2,9,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,44,11,9,5,2,0,1,1,0,0,3,0,3,3,2,0,1,3,3,0,0,1,0,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,0,4,1,1,2,0,1,0,0,0,0,4,0,3,1,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,0,1,0,10
AbuzarMusic,2017,46,9,3.5166871740824437,1.6265169868803933,3.7285694366492566,0.5732206624083929,13.619492869681677,0.5074016557264834,1.236450949648906,0.6252402013284233,0.23429600382772395,1.30438144609335,364.755865897537,445.93756186694975,1508.8933256337928,490.03175046117855,528.6718013775176,1397.9372094041855,502.10513143823,552.7327999875899,1393.995396367013,513.1594705068327,573.5700581791638,1385.0415372226803,521.3714758546857,572.7026315945166,1386.4889798967026,661.9197202890704,2228.174023667966,1404.533133646491,2290.7634280020384,1.5067020049816242,8.293914564580914,0.45944128417223234,45188.77083651481,85.89499243512682,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,9,7,3,2,0,0,2,0,0,1,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AbuzarMusic,2017,45,27,46,18,12,6,0,6,0,0,6,4,26,9,4,6,1,15,7,4,1,2,4,5,5,0,0,0,0,11,0,1,0,0,9,3,1,3,2,2,2,2,0,1,1,6,0,2,0,5,14,5,3,4,5,1,1,14,1,20,4,12,7,6,9,0,0,1,0,3,0,2,1,0,0,28,9,27,0,0,2,3,0,2,9,0,0,0,0,3,0,24
AbuzarMusic,2017,47,16,6.245719014929793,2.9106713677030625,6.63253558418318,1.0332446797996107,24.237500822754342,0.9003632178405117,2.183811433728922,1.1228610662175784,0.4161008431759913,2.3050561210850753,648.6838910610377,793.0506187480078,2683.55452453883,871.5161223829119,940.218929700619,2486.214649388748,892.9865136935623,982.9957968773463,2479.1797217999397,912.6384945590462,1020.0390365055429,2463.2657840382894,927.2569208533939,1018.5299938948464,2465.8315278491486,1177.1986994472775,3962.722325583988,2497.9320517494143,4074.035258859102,2.664530994724162,14.770447274222759,0.8319914944426079,80370.80369113667,152.71646933926328,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,16,13,8,3,2,0,1,0,0,5,3,4,4,0,1,1,8,2,1,0,1,0,4,2,1,0,0,1,3,0,1,0,0,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,7,3,2,2,1,0,0,7,2,3,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,16,0,16,0,0,0,0,0,1,7,0,1,0,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,46,9,7,3,2,0,0,2,0,0,1,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,9
AbuzarMusic,2017,48,35,13.81944023846908,5.881608084168791,14.407744291256757,1.8993769062097265,52.381845222528995,2.0123851968577715,5.141440209611552,2.168234357792032,0.9210412410679973,5.3944693538690585,1413.1704143582251,1727.8607020309137,5842.866854323499,1897.5749567271496,2047.623658144587,5413.336785449104,1944.3734779171214,2141.1533227570208,5398.641299972821,1987.3667006305404,2222.2051216495784,5363.726945964614,2018.853424826807,2218.0634128086176,5369.529974755508,2563.611034762248,8629.687157920833,5439.189530246601,8872.093421508363,6.186063764584312,31.656354810506805,1.4331573932613024,174915.45967031372,333.70452709192244,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,25,6,0,0,0,1,3,2,1,4,7,1,0,1,2,2,0,0,2,2,4,3,0,0,0,0,0,0,0,1,29,59,33,27,4,0,23,0,0,7,2,26,7,8,2,0,21,6,3,4,0,5,17,16,1,0,0,0,34,0,3,0,6,8,0,0,0,0,5,3,5,1,3,1,4,0,3,0,1,7,1,2,4,2,0,1,23,2,17,3,10,7,8,8,0,1,0,0,24,0,22,8,0,0,29,3,37,1,1,3,0,0,0,10,0,2,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,47,16,13,8,3,2,0,1,0,0,5,3,4,4,0,1,1,8,2,1,0,1,0,4,2,1,0,0,1,3,0,1,0,0,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,7,3,2,2,1,0,0,7,2,3,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,16,0,16,0,0,0,0,0,1,7,0,1,0,0,2,1,13
AbuzarMusic,2017,49,15,5.925895174708018,2.510548425064308,6.172639398095549,0.8064813768737716,22.436042304132688,0.8633456483187641,2.211084923721022,0.9232270865016712,0.39495798061002235,2.319271287140337,605.5227790344559,740.3668193595735,2503.513286286407,813.0612065408916,877.3628071478971,2319.4738989201624,833.1142073014674,917.446014761866,2313.1903177472223,851.539968478357,952.182911747331,2298.2248797612865,865.0240211684677,950.3903337055027,2300.7158704898943,1098.4500008000832,3697.6275743129404,2330.5582613855627,3801.4931889761033,2.658635552243246,13.553348573231473,0.6061303858025741,74945.0597294161,143.00864883391517,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,1,0,0,0,1,0,2,0,0,1,1,1,4,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,15,28,12,9,4,0,4,0,1,3,5,11,7,2,5,1,9,5,2,1,0,0,5,1,4,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,10,4,11,4,5,2,1,2,0,0,0,0,4,0,4,1,0,0,16,0,18,1,2,0,1,0,1,4,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,-1,AbuzarMusic,2017,48,35,59,33,27,4,0,23,0,0,7,2,26,7,8,2,0,21,6,3,4,0,5,17,16,1,0,0,0,34,0,3,0,6,8,0,0,0,0,5,3,5,1,3,1,4,0,3,0,1,7,1,2,4,2,0,1,23,2,17,3,10,7,8,8,0,1,0,0,24,0,22,8,0,0,29,3,37,1,1,3,0,0,0,10,0,2,0,0,9,0,26
