user_id,yr,week,count,fposemo,fnegemo,fposemoji,fnegemoji,fperiod,fqmark,fexclaim,f3dots,fdeg_adv,fadv_cnt,ffct1,ffct2,ffct3,ffct4,ffct5,ffct6,ffct7,ffct8,ffct9,ffct10,ffct11,ffct12,ffct13,ffct14,ffct15,fsat_mean,fsat_contrast,fbrit_mean,fbrit_contrast,fwarm_cool,fclear_dull,freplies_cnt,fretweets_cnt,flikes_cnt,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,pos,neg,neu,rfamily,rfriend,rposemo,raffect,rleisure,rsad,rdeath,rauxverb,ranger,rnegemo,rposemoji,rnegemoji,xlabel,puser_id,pyr,pweek,pcount,pfunction,ppronoun,pppron,pi,pwe,pyou,pshehe,pthey,pipron,particle,pprep,pauxverb,padverb,pconj,pnegate,pverb,padj,pcompare,pinterrog,pnumber,pquant,paffect,pposemo,pnegemo,panx,panger,psad,psocial,pfamily,pfriend,pfemale,pmale,pcogproc,pinsight,pcause,pdiscrep,ptentat,pcertain,pdiffer,ppercept,psee,phear,pfeel,pbio,pbody,phealth,psexual,pingest,pdrives,paffiliation,pachieve,ppower,preward,prisk,pfocuspast,pfocuspresent,pfocusfuture,prelativ,pmotion,pspace,ptime,pwork,pleisure,phome,pmoney,prelig,pdeath,pinformal,pswear,pnetspeak,passent,pnonflu,pfiller,pperiod,pcomma,pcolon,psemic,pqmark,pexclaim,pdash,pquote,papostro,p3dots,pparenth,pposemoji,pnegemoji,pneuemoji,ppos,pneg,pneu,newpos,newneg,newneu,label
AbuzarMusic,2017,40,8,3.124987473,1.448752512,3.31489922,0.51172928,12.11010338,0.450762527,1.09684633,0.557524932,0.208197149,1.157303329,324.2629506,396.4312367,1341.405601,435.6378308,469.9859979,1242.76483,446.370749,491.3738249,1239.256769,456.1968006,509.895712,1231.298409,463.4993547,509.1297911,1232.583863,588.4432592,1980.835471,1248.626527,2036.477146,1.337111862,7.376355433,0.410750424,40173.25654,76.35331579,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,4,3,3,0,2,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
AbuzarMusic,2017,41,6,2.340062985,1.097941637,2.488539626,0.392253307,9.097521618,0.337067933,0.814096218,0.424893487,0.155894282,0.859724721,243.3337346,297.486007,1006.696518,326.9361592,352.7028781,932.665533,334.9897839,368.7447966,930.018237,342.3592168,382.63575,924.0518716,347.8476408,382.0810105,925.011499,441.6022051,1486.535121,937.0566283,1528.29194,0.99445825,5.547592896,0.317127958,30150.93232,57.27348781,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6,5,2,1,0,1,0,0,0,1,1,3,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,AbuzarMusic,2017,40,8,4,3,3,0,2,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,-1
AbuzarMusic,2017,42,8,3.113267323,1.485010507,3.322436873,0.538678685,12.15772845,0.447563016,1.069635018,0.579035729,0.20738902,1.131002684,324.6980294,396.9493588,1343.45259,436.300021,470.6660143,1244.65118,447.045483,492.0571821,1241.091332,456.8711975,510.577597,1233.140635,464.2104276,509.8744613,1234.411865,589.3029556,1983.730814,1250.496378,2039.453954,1.31041964,7.425198655,0.439639982,40240.149,76.38040738,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8,18,9,8,2,0,4,2,0,1,3,1,3,3,4,1,10,1,0,1,1,4,4,3,1,0,0,1,6,1,0,2,1,4,0,0,2,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,1,8,2,4,2,1,0,0,1,1,0,3,0,3,0,0,0,8,1,8,1,0,3,0,0,0,3,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,41,6,5,2,1,0,1,0,0,0,1,1,3,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,1,0
AbuzarMusic,2017,43,11,4.321651722,1.915331009,4.542040543,0.646616362,16.55064144,0.626567032,1.565729165,0.721090745,0.287980675,1.646931023,444.9411489,543.9968644,1840.102303,597.6011559,644.7921741,1704.811072,612.3323817,674.1933688,1700.097044,625.843916,699.664078,1689.138086,635.8073398,698.4781149,1690.935678,807.290796,2717.52368,1712.905811,2793.858648,1.894996138,10.03916101,0.503666046,55096.71691,104.928497,3,0,0,1,32,188,19,30,213,12,26,191,20,30,204,15,32,198,18,129,255,93,252,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,0,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,42,8,18,9,8,2,0,4,2,0,1,3,1,3,3,4,1,10,1,0,1,1,4,4,3,1,0,0,1,6,1,0,2,1,4,0,0,2,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,1,8,2,4,2,1,0,0,1,1,0,3,0,3,0,0,0,8,1,8,1,0,3,0,0,0,3,0,1,0,0,1,0,7,0,1,0,-1
AbuzarMusic,2017,44,11,4.29553286,1.996133524,4.558838529,0.70667428,16.65677597,0.619436783,1.505087576,0.76902849,0.286179725,1.588318896,445.9107409,545.1515221,1844.664106,599.0768753,646.3076202,1709.014886,613.8360558,675.71626,1704.185447,627.3468387,701.1836883,1693.243568,637.3919966,700.1376448,1695.00946,809.2066666,2723.976079,1717.072854,2800.492592,1.835511363,10.14801025,0.56804768,55245.78966,104.9888718,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,11,9,5,2,0,1,1,0,0,3,0,3,3,2,0,1,3,3,0,0,1,0,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,0,4,1,1,2,0,1,0,0,0,0,4,0,3,1,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0
AbuzarMusic,2017,45,27,10.54317622,4.900851653,11.1901365,1.735494109,40.88645718,1.520325332,3.693366863,1.888357676,0.702413255,3.897693347,1094.523196,1338.11707,4527.882533,1470.484272,1586.414897,4194.919813,1506.711784,1658.599856,4183.06395,1539.874603,1721.110765,4156.206875,1564.532166,1718.54537,4160.540847,1986.264212,6686.223015,4214.697893,6874.039086,4.504424982,24.9104379,1.395295767,135605.6102,257.700893,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,4,1,0,1,0,0,0,1,1,4,0,2,0,0,0,0,0,0,27,46,18,12,6,0,6,0,0,6,4,26,9,4,6,1,15,7,4,1,2,4,5,5,0,0,0,0,11,0,1,0,0,9,3,1,3,2,2,2,2,0,1,1,6,0,2,0,5,14,5,3,4,5,1,1,14,1,20,4,12,7,6,9,0,0,1,0,3,0,2,1,0,0,28,9,27,0,0,2,3,0,2,9,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,44,11,9,5,2,0,1,1,0,0,3,0,3,3,2,0,1,3,3,0,0,1,0,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,0,4,1,1,2,0,1,0,0,0,0,4,0,3,1,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,0,1,0,10,0,0,1,0
AbuzarMusic,2017,46,9,3.516687174,1.626516987,3.728569437,0.573220662,13.61949287,0.507401656,1.23645095,0.625240201,0.234296004,1.304381446,364.7558659,445.9375619,1508.893326,490.0317505,528.6718014,1397.937209,502.1051314,552.7328,1393.995396,513.1594705,573.5700582,1385.041537,521.3714759,572.7026316,1386.48898,661.9197203,2228.174024,1404.533134,2290.763428,1.506702005,8.293914565,0.459441284,45188.77084,85.89499244,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,9,7,3,2,0,0,2,0,0,1,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AbuzarMusic,2017,45,27,46,18,12,6,0,6,0,0,6,4,26,9,4,6,1,15,7,4,1,2,4,5,5,0,0,0,0,11,0,1,0,0,9,3,1,3,2,2,2,2,0,1,1,6,0,2,0,5,14,5,3,4,5,1,1,14,1,20,4,12,7,6,9,0,0,1,0,3,0,2,1,0,0,28,9,27,0,0,2,3,0,2,9,0,0,0,0,3,0,24,0,1,0,-1
AbuzarMusic,2017,47,16,6.245719015,2.910671368,6.632535584,1.03324468,24.23750082,0.900363218,2.183811434,1.122861066,0.416100843,2.305056121,648.6838911,793.0506187,2683.554525,871.5161224,940.2189297,2486.214649,892.9865137,982.9957969,2479.179722,912.6384946,1020.039037,2463.265784,927.2569209,1018.529994,2465.831528,1177.198699,3962.722326,2497.932052,4074.035259,2.664530995,14.77044727,0.831991494,80370.80369,152.7164693,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,16,13,8,3,2,0,1,0,0,5,3,4,4,0,1,1,8,2,1,0,1,0,4,2,1,0,0,1,3,0,1,0,0,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,7,3,2,2,1,0,0,7,2,3,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,16,0,16,0,0,0,0,0,1,7,0,1,0,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,46,9,7,3,2,0,0,2,0,0,1,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,-1
AbuzarMusic,2017,48,35,13.81944024,5.881608084,14.40774429,1.899376906,52.38184522,2.012385197,5.14144021,2.168234358,0.921041241,5.394469354,1413.170414,1727.860702,5842.866854,1897.574957,2047.623658,5413.336785,1944.373478,2141.153323,5398.6413,1987.366701,2222.205122,5363.726946,2018.853425,2218.063413,5369.529975,2563.611035,8629.687158,5439.18953,8872.093422,6.186063765,31.65635481,1.433157393,174915.4597,333.7045271,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,25,6,0,0,0,1,3,2,1,4,7,1,0,1,2,2,0,0,2,2,4,3,0,0,0,0,0,0,0,1,29,59,33,27,4,0,23,0,0,7,2,26,7,8,2,0,21,6,3,4,0,5,17,16,1,0,0,0,34,0,3,0,6,8,0,0,0,0,5,3,5,1,3,1,4,0,3,0,1,7,1,2,4,2,0,1,23,2,17,3,10,7,8,8,0,1,0,0,24,0,22,8,0,0,29,3,37,1,1,3,0,0,0,10,0,2,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,47,16,13,8,3,2,0,1,0,0,5,3,4,4,0,1,1,8,2,1,0,1,0,4,2,1,0,0,1,3,0,1,0,0,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,7,3,2,2,1,0,0,7,2,3,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,16,0,16,0,0,0,0,0,1,7,0,1,0,0,2,1,13,0,0,1,0
AbuzarMusic,2017,49,15,5.925895175,2.510548425,6.172639398,0.806481377,22.4360423,0.863345648,2.211084924,0.923227087,0.394957981,2.319271287,605.522779,740.3668194,2503.513286,813.0612065,877.3628071,2319.473899,833.1142073,917.4460148,2313.190318,851.5399685,952.1829117,2298.22488,865.0240212,950.3903337,2300.71587,1098.450001,3697.627574,2330.558261,3801.493189,2.658635552,13.55334857,0.606130386,74945.05973,143.0086488,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,1,0,0,0,1,0,2,0,0,1,1,1,4,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,15,28,12,9,4,0,4,0,1,3,5,11,7,2,5,1,9,5,2,1,0,0,5,1,4,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,10,4,11,4,5,2,1,2,0,0,0,0,4,0,4,1,0,0,16,0,18,1,2,0,1,0,1,4,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,-1,AbuzarMusic,2017,48,35,59,33,27,4,0,23,0,0,7,2,26,7,8,2,0,21,6,3,4,0,5,17,16,1,0,0,0,34,0,3,0,6,8,0,0,0,0,5,3,5,1,3,1,4,0,3,0,1,7,1,2,4,2,0,1,23,2,17,3,10,7,8,8,0,1,0,0,24,0,22,8,0,0,29,3,37,1,1,3,0,0,0,10,0,2,0,0,9,0,26,0,1,0,-1
AbuzarMusic,2017,50,15,5.98304432,2.333749201,6.135884712,0.675072182,22.20381558,0.878946927,2.343771214,0.81833733,0.398898535,2.447517032,603.4012718,737.8403809,2493.531874,809.8322718,874.0469488,2310.275783,829.8241067,914.1138663,2304.244724,848.2515119,948.8579419,2289.241916,861.5567268,946.7592141,2291.802268,1094.257997,3683.509461,2321.4406,3786.977847,2.788790685,13.31518196,0.465260723,74618.88242,142.8765463,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,13,10,3,0,0,0,0,0,2,2,0,2,4,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,14,53,13,9,7,0,0,0,2,4,14,31,6,8,3,0,9,10,2,1,0,4,13,10,3,0,0,0,7,0,0,0,0,11,1,4,0,2,5,0,9,2,2,4,4,2,0,0,2,15,1,8,6,2,0,3,7,0,30,3,15,13,10,10,2,0,0,0,7,0,5,5,0,0,14,2,17,3,0,2,0,0,0,4,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,AbuzarMusic,2017,49,15,28,12,9,4,0,4,0,1,3,5,11,7,2,5,1,9,5,2,1,0,0,5,1,4,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,10,4,11,4,5,2,1,2,0,0,0,0,4,0,4,1,0,0,16,0,18,1,2,0,1,0,1,4,0,0,0,0,1,3,11,0,0,1,0
AbuzarMusic,2017,52,9,3.507366304,1.655352459,3.734564026,0.594653145,13.65736842,0.50485713,1.214810177,0.642347435,0.23365331,1.283464914,365.101878,446.3496171,1510.521267,490.5583809,529.2126088,1399.437397,502.6417379,553.2762643,1395.454398,513.6958088,574.1123517,1386.506634,521.9369821,573.2948573,1387.942764,662.6034247,2230.47665,1406.020199,2293.130841,1.485474057,8.332758891,0.482416743,45241.96947,85.91653799,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,10,5,4,1,1,2,0,0,1,0,6,1,1,1,0,5,0,0,0,1,2,3,3,0,0,0,0,6,1,1,0,1,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,4,2,1,1,0,0,2,2,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,8,0,8,0,0,0,0,0,1,2,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
