user_id,yr,week,count,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,label,pcount,pfunction,ppronoun,pppron,pi,pwe,pyou,pshehe,pthey,pipron,particle,pprep,pauxverb,padverb,pconj,pnegate,pverb,padj,pcompare,pinterrog,pnumber,pquant,paffect,pposemo,pnegemo,panx,panger,psad,psocial,pfamily,pfriend,pfemale,pmale,pcogproc,pinsight,pcause,pdiscrep,ptentat,pcertain,pdiffer,ppercept,psee,phear,pfeel,pbio,pbody,phealth,psexual,pingest,pdrives,paffiliation,pachieve,ppower,preward,prisk,pfocuspast,pfocuspresent,pfocusfuture,prelativ,pmotion,pspace,ptime,pwork,pleisure,phome,pmoney,prelig,pdeath,pinformal,pswear,pnetspeak,passent,pnonflu,pfiller,pperiod,pcomma,pcolon,psemic,pqmark,pexclaim,pdash,pquote,papostro,p3dots,pparenth,pposemoji,pnegemoji,pneuemoji
AbuzarMusic,2017,40,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,4,3,3,0,2,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AbuzarMusic,2017,41,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6,5,2,1,0,1,0,0,0,1,1,3,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,1,3,0,0,0,0,0,8,4,3,3,0,2,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,0,0
AbuzarMusic,2017,42,8,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8,18,9,8,2,0,4,2,0,1,3,1,3,3,4,1,10,1,0,1,1,4,4,3,1,0,0,1,6,1,0,2,1,4,0,0,2,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,1,8,2,4,2,1,0,0,1,1,0,3,0,3,0,0,0,8,1,8,1,0,3,0,0,0,3,0,1,0,0,1,6,5,2,1,0,1,0,0,0,1,1,3,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,1,3,0,0,0,0
AbuzarMusic,2017,43,11,3,0,0,1,32,188,19,30,213,12,26,191,20,30,204,15,32,198,18,129,255,93,252,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,0,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,8,18,9,8,2,0,4,2,0,1,3,1,3,3,4,1,10,1,0,1,1,4,4,3,1,0,0,1,6,1,0,2,1,4,0,0,2,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,1,8,2,4,2,1,0,0,1,1,0,3,0,3,0,0,0,8,1,8,1,0,3,0,0,0,3,0,1,0,0
AbuzarMusic,2017,44,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,11,9,5,2,0,1,1,0,0,3,0,3,3,2,0,1,3,3,0,0,1,0,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,0,4,1,1,2,0,1,0,0,0,0,4,0,3,1,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
AbuzarMusic,2017,45,27,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,4,1,0,1,0,0,0,1,1,4,0,2,0,0,0,0,0,0,27,46,18,12,6,0,6,0,0,6,4,26,9,4,6,1,15,7,4,1,2,4,5,5,0,0,0,0,11,0,1,0,0,9,3,1,3,2,2,2,2,0,1,1,6,0,2,0,5,14,5,3,4,5,1,1,14,1,20,4,12,7,6,9,0,0,1,0,3,0,2,1,0,0,28,9,27,0,0,2,3,0,2,9,0,0,0,0,1,11,9,5,2,0,1,1,0,0,3,0,3,3,2,0,1,3,3,0,0,1,0,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,0,4,1,1,2,0,1,0,0,0,0,4,0,3,1,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,0
AbuzarMusic,2017,46,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,9,7,3,2,0,0,2,0,0,1,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,0,9,0,1,0,0,0,0,1,0,0,0,0,0,27,46,18,12,6,0,6,0,0,6,4,26,9,4,6,1,15,7,4,1,2,4,5,5,0,0,0,0,11,0,1,0,0,9,3,1,3,2,2,2,2,0,1,1,6,0,2,0,5,14,5,3,4,5,1,1,14,1,20,4,12,7,6,9,0,0,1,0,3,0,2,1,0,0,28,9,27,0,0,2,3,0,2,9,0,0,0,0
AbuzarMusic,2017,47,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,16,13,8,3,2,0,1,0,0,5,3,4,4,0,1,1,8,2,1,0,1,0,4,2,1,0,0,1,3,0,1,0,0,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,7,3,2,2,1,0,0,7,2,3,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,16,0,16,0,0,0,0,0,1,7,0,1,0,0,1,9,7,3,2,0,0,2,0,0,1,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,0,9,0,1,0,0,0,0,1,0,0,0,0
AbuzarMusic,2017,48,35,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,25,6,0,0,0,1,3,2,1,4,7,1,0,1,2,2,0,0,2,2,4,3,0,0,0,0,0,0,0,1,29,59,33,27,4,0,23,0,0,7,2,26,7,8,2,0,21,6,3,4,0,5,17,16,1,0,0,0,34,0,3,0,6,8,0,0,0,0,5,3,5,1,3,1,4,0,3,0,1,7,1,2,4,2,0,1,23,2,17,3,10,7,8,8,0,1,0,0,24,0,22,8,0,0,29,3,37,1,1,3,0,0,0,10,0,2,0,0,1,16,13,8,3,2,0,1,0,0,5,3,4,4,0,1,1,8,2,1,0,1,0,4,2,1,0,0,1,3,0,1,0,0,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,7,3,2,2,1,0,0,7,2,3,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,16,0,16,0,0,0,0,0,1,7,0,1,0,0
AbuzarMusic,2017,49,15,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,1,0,0,0,1,0,2,0,0,1,1,1,4,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,15,28,12,9,4,0,4,0,1,3,5,11,7,2,5,1,9,5,2,1,0,0,5,1,4,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,10,4,11,4,5,2,1,2,0,0,0,0,4,0,4,1,0,0,16,0,18,1,2,0,1,0,1,4,0,0,0,0,-1,35,59,33,27,4,0,23,0,0,7,2,26,7,8,2,0,21,6,3,4,0,5,17,16,1,0,0,0,34,0,3,0,6,8,0,0,0,0,5,3,5,1,3,1,4,0,3,0,1,7,1,2,4,2,0,1,23,2,17,3,10,7,8,8,0,1,0,0,24,0,22,8,0,0,29,3,37,1,1,3,0,0,0,10,0,2,0,0
AbuzarMusic,2017,50,15,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,13,10,3,0,0,0,0,0,2,2,0,2,4,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,14,53,13,9,7,0,0,0,2,4,14,31,6,8,3,0,9,10,2,1,0,4,13,10,3,0,0,0,7,0,0,0,0,11,1,4,0,2,5,0,9,2,2,4,4,2,0,0,2,15,1,8,6,2,0,3,7,0,30,3,15,13,10,10,2,0,0,0,7,0,5,5,0,0,14,2,17,3,0,2,0,0,0,4,0,0,0,0,1,15,28,12,9,4,0,4,0,1,3,5,11,7,2,5,1,9,5,2,1,0,0,5,1,4,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,10,4,11,4,5,2,1,2,0,0,0,0,4,0,4,1,0,0,16,0,18,1,2,0,1,0,1,4,0,0,0,0
