label,id_str,flikes_cnt,fretweets_cnt,freplies_cnt,fclear_dull,fwarm_cool,fbrit_contrast,fbrit_mean,fsat_contrast,fsat_mean,ffct15,ffct14,ffct13,ffct12,ffct11,ffct10,ffct9,ffct8,ffct7,ffct6,ffct5,ffct4,ffct3,ffct2,ffct1,fadv_cnt,fdeg_adv,fperiod,f3dots,fqmark,fexclaim,fnegemoji,fposemoji,fnegemo,fposemo,user_id,tdate,ttime,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,pos,neg,neu,reply_to,rfamily,rfriend,rposemo,raffect,rleisure,rsad,rdeath,rauxverb,ranger,rnegemo,rposemoji,rnegemoji
-1,ID904707355891212288,101.641401079828,5015.3807215681,0.00512112615722791,0.769841724001098,0.202434142314717,238.81838216738,141.81557911697,233.779757264031,70.2410435036201,139.992478607721,59.8036429637997,57.0405673685994,140.420873471214,59.9181383471355,56.4717740923456,140.572911040918,59.1636924990148,55.6582103504251,141.06996615242,55.6394783420627,54.1250941527631,150.552966522805,47.1882924417609,41.7332959153423,0.183970393856019,0.0295300964579822,1.44377113561815,0.0373065601727161,0.04498992402686,0.1507365284193,0.0281915977123343,0.263348101100295,0.13861224530688,0.355486666992907,adil14384,2017-09-04,14:06:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID904707355891212288,0,0,1,1,1,0,0,0,0,0,0,0
-1,ID904970719469043713,98.1684417095684,4843.93132119674,0.00874766133480611,0.736000405046564,0.18640160477465,230.66381100057,136.980755966151,225.792845915711,67.84024237498,135.198607562005,57.7664830888479,55.0964797805423,135.62243260689,57.868326779413,54.5424517385922,135.76240571514,57.1542429784627,53.7471299874076,136.236982646624,53.7399465234402,52.2840835577456,145.406115182425,45.5781469247495,40.3124667694025,0.177517603332065,0.0274938097133048,1.38985797714654,0.0408220318025527,0.0355290239970542,0.15351549954809,0.0366269621247863,0.251232658328681,0.138515281053842,0.337571728744477,teatattler,2017-09-05,07:33:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,1,0,0,0,0,1,0,1,3,0,6,2,0,2,2,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,4,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,2,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID904970719469043713,1,0,0,1,0,0,0,1,0,1,0,0
-1,ID905119416806817793,98.1684417095684,4843.93132119674,0.00874766133480611,0.736000405046564,0.18640160477465,230.66381100057,136.980755966151,225.792845915711,67.84024237498,135.198607562005,57.7664830888479,55.0964797805423,135.62243260689,57.868326779413,54.5424517385922,135.76240571514,57.1542429784627,53.7471299874076,136.236982646624,53.7399465234402,52.2840835577456,145.406115182425,45.5781469247495,40.3124667694025,0.177517603332065,0.0274938097133048,1.38985797714654,0.0408220318025527,0.0355290239970542,0.15351549954809,0.0366269621247863,0.251232658328681,0.138515281053842,0.337571728744477,teatattler,2017-09-05,17:24:19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,6,2,1,0,0,0,1,5,0,4,3,0,0,1,6,0,1,2,0,0,1,0,1,0,0,1,4,0,0,0,0,7,2,1,1,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID905119416806817793,0,0,0,0,0,0,0,1,0,0,0,0
-1,ID905505940064976896,77.7550628001647,3836.18513114871,0.0300637289347136,0.53708772195311,0.0921654710360152,182.732829573813,108.562606942355,178.847336254629,53.7288008347378,107.021167037644,45.7924540280596,43.6695114987016,107.418131578608,45.8199335321084,43.202270628841,107.487192131669,45.3430899849613,42.5141717470469,107.82964669805,42.5748683782523,41.4629817694138,115.153925219808,36.1140251099368,31.9611097192839,0.139589357146267,0.0155249127422504,1.07296692984316,0.061485289495588,-0.0200803041126439,0.169849750710391,0.0862083915722064,0.180020444886151,0.137945344055764,0.232271210190919,adil14384,2017-09-06,19:00:14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,2,1,1,0,0,2,2,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID905505940064976896,0,0,10,32,1,2,5,19,10,22,0,0
-1,ID907655992761917441,106.544240555783,5257.41893700701,0.00000148094000227555,0.817616125253669,0.225067565159882,250.330337581685,148.640986291637,245.05502428409,73.6302978232102,146.760072955884,62.6795383570124,59.7850709332141,147.194919114851,62.8118943635634,59.1954333089856,147.363988302714,62.0004686843822,58.3561170192334,147.892776266978,58.3210817221444,56.7240820643976,157.81886952892,49.4613639525988,43.739106085468,0.193079914797101,0.0324047592374149,1.51988131527978,0.0323437053720066,0.0583460474936096,0.146813404679516,0.0162832414011169,0.280451690505345,0.138749131494384,0.380777508920357,PandePaarth,2017-09-12,17:23:46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,4,2,2,2,0,0,3,1,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ID907655992761917441,0,0,0,2,0,0,0,3,2,2,0,0
-1,ID907656697170214912,106.544354467479,5257.42456047969,0.00000136199107952928,0.817617235235577,0.225068091020787,250.330605048401,148.641144871928,245.05528625163,73.6303765685398,146.760230192963,62.6796051750524,59.7851346985198,147.195076501818,62.8119615965739,59.1954965899975,147.364146085391,62.0005345935336,58.3561797019151,147.892934786929,58.3211440260384,56.7241424488187,157.819038343613,49.4614167647364,43.7391526881034,0.193080126446084,0.0324048260268166,1.5198830836101,0.0323435900659244,0.0583463578073972,0.146813313530359,0.0162829647244929,0.280452087887087,0.138749134674773,0.380778096523262,PandePaarth,2017-09-12,17:26:34,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,2,1,0,0,0,0,1,1,3,2,3,2,1,1,5,0,0,0,0,0,2,0,2,0,2,0,5,0,0,0,0,3,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,ID907656697170214912,0,0,0,1,0,0,0,1,0,1,0,0
-1,ID907656912946135041,106.512799349862,5255.86678066792,0.0000343124900259936,0.817309754874859,0.224922420267449,250.25651306377,148.597215934985,244.982717614879,73.6085630216731,146.716673344592,62.6610956525946,59.7674708257362,147.151478132327,62.7933371215322,59.1779668733198,147.320438098867,61.9822768458301,58.3388157309608,147.8490225649,58.3038849845226,56.7074151279184,157.77227433572,49.4467870712234,43.7262431127142,0.193021496746674,0.0323863244375724,1.51939323162069,0.0323755314475912,0.0582603965906435,0.146838563109025,0.0163596079810933,0.28034200764114,0.138748253662909,0.380615322380733,PandePaarth,2017-09-12,17:27:26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,6,5,0,0,1,0,4,1,1,4,1,0,2,0,2,1,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,4,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID907656912946135041,0,0,2,4,0,1,0,3,0,2,0,0
-1,ID907970519848194049,106.370271446072,5248.83061322806,0.000183143041084847,0.815920930031879,0.224264455769624,249.921854978028,148.398798062671,244.654940174699,73.5100357670176,146.519936118975,62.5774919890596,59.6876867859105,146.954553364445,62.7092142410823,59.0987887887241,147.123018213646,61.8998103964991,58.2603862853279,147.650680190373,58.2259294833414,56.631861298176,157.561051037531,49.3807077881481,43.6679332454728,0.192756678587598,0.0323027566067133,1.51718067205853,0.0325198040257631,0.0578721276518354,0.14695261020473,0.0167057896317359,0.279844798063478,0.138744274315541,0.379880105430906,PandePaarth,2017-09-13,14:13:35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,3,1,2,0,0,0,3,1,0,1,0,0,4,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,1,0,0,2,2,0,3,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,ID907970519848194049,0,0,2,2,0,0,0,0,0,0,0,0
-1,ID908129129634992128,78.8723254936426,3891.34097906747,0.0288970603882312,0.547974587918133,0.0973231922085386,185.356182505612,110.11798578791,181.416752459727,54.5011466210027,108.563371453448,46.4478152017101,44.2949310050713,108.961806120406,46.4793647978144,43.8229401097456,109.034747851236,45.9895366445351,43.1289727182653,109.384433723623,43.1859541439527,42.0552410609346,116.809684581903,36.632014330494,32.4181952274412,0.141665241529764,0.0161799930269591,1.09031097399285,0.0603543504654251,-0.0170367007982647,0.16895574636498,0.0834947065102301,0.183918023515952,0.137976537781624,0.238034505993437,ThinkingHawk,2017-09-14,00:43:51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,1,0,3,3,2,0,2,0,4,1,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,4,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID908129129634992128,0,0,1,1,0,0,0,2,0,0,0,0
-1,ID908171349130067968,78.8723254936426,3891.34097906747,0.0288970603882312,0.547974587918133,0.0973231922085386,185.356182505612,110.11798578791,181.416752459727,54.5011466210027,108.563371453448,46.4478152017101,44.2949310050713,108.961806120406,46.4793647978144,43.8229401097456,109.034747851236,45.9895366445351,43.1289727182653,109.384433723623,43.1859541439527,42.0552410609346,116.809684581903,36.632014330494,32.4181952274412,0.141665241529764,0.0161799930269591,1.09031097399285,0.0603543504654251,-0.0170367007982647,0.16895574636498,0.0834947065102301,0.183918023515952,0.137976537781624,0.238034505993437,adil14384,2017-09-14,03:31:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,ID908171349130067968,0,0,7,8,2,0,1,12,1,1,0,0
-1,ID908351147215249408,76.7448483790079,3786.31392959161,0.0311186154866827,0.52724395910014,0.0875019265185044,180.360827913902,107.156253584891,176.524103482698,53.03045580276,105.626725828508,45.1998849639061,43.1040153013475,106.022361100636,45.2236843435633,42.6410693428392,106.08791234315,44.7585813086918,41.9582766913079,106.423828456531,42.0223325631054,40.9274686077813,113.656809102606,35.6456659821639,31.5478189375029,0.137712369439522,0.0149325976542309,1.05728467031414,0.0625078698828048,-0.0228322907120487,0.170658097831962,0.0886620703713724,0.176496304894364,0.137917139093853,0.227060112955611,ThinkingHawk,2017-09-14,15:26:04,1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID908351147215249408,0,0,0,0,2,0,0,0,0,0,0,0
-1,ID908496074628775942,98.1684417095684,4843.93132119674,0.00874766133480611,0.736000405046564,0.18640160477465,230.66381100057,136.980755966151,225.792845915711,67.84024237498,135.198607562005,57.7664830888479,55.0964797805423,135.62243260689,57.868326779413,54.5424517385922,135.76240571514,57.1542429784627,53.7471299874076,136.236982646624,53.7399465234402,52.2840835577456,145.406115182425,45.5781469247495,40.3124667694025,0.177517603332065,0.0274938097133048,1.38985797714654,0.0408220318025527,0.0355290239970542,0.15351549954809,0.0366269621247863,0.251232658328681,0.138515281053842,0.337571728744477,ThinkingHawk,2017-09-15,01:01:57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ID908496074628775942,0,0,1,1,0,0,0,2,0,0,0,0
-1,ID908655531929231361,78.7933827995963,3887.44381929249,0.0289794939633035,0.547205352058012,0.0969587618853252,185.170823637837,110.008087017417,181.235204611991,54.4465748023436,108.45440355175,46.401509192458,44.2507405912768,108.852734343669,46.4327712071064,43.7790853196224,108.925401841204,45.9438605102098,43.0855325808172,109.274576769494,43.1427765126585,42.0133936562737,116.692693201541,36.5954146437808,32.3858988287213,0.141518565276526,0.0161337068645433,1.08908549176846,0.060434259491623,-0.0172517533965908,0.16901891424119,0.0836864479966648,0.183642631382043,0.137974333719168,0.237627287440546,teatattler,2017-09-15,11:35:35,1,-0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,0,0,0,0,0,0,2,1,7,3,1,1,1,4,5,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,ID908655531929231361,0,0,2,3,0,0,0,6,0,1,0,0
