ng,ne,po,xylabel,label,xlabel,id_str,flikes_cnt,fretweets_cnt,freplies_cnt,fclear_dull,fwarm_cool,fbrit_contrast,fbrit_mean,fsat_contrast,fsat_mean,ffct15,ffct14,ffct13,ffct12,ffct11,ffct10,ffct9,ffct8,ffct7,ffct6,ffct5,ffct4,ffct3,ffct2,ffct1,fadv_cnt,fdeg_adv,fperiod,f3dots,fqmark,fexclaim,fnegemoji,fposemoji,fnegemo,fposemo,user_id,tdate,ttime,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,pos,neg,neu,reply_to,rfamily,rfriend,rposemo,raffect,rleisure,rsad,rdeath,rauxverb,ranger,rnegemo,rposemoji,rnegemoji
0.341292103,0.302549094,0.356158803,-1,1,-1,ID904707355891212288,101.6414011,5015.380722,0.005121126,0.769841724,0.202434142,238.8183822,141.8155791,233.7797573,70.2410435,139.9924786,59.80364296,57.04056737,140.4208735,59.91813835,56.47177409,140.572911,59.1636925,55.65821035,141.0699662,55.63947834,54.12509415,150.5529665,47.18829244,41.73329592,0.183970394,0.029530096,1.443771136,0.03730656,0.044989924,0.150736528,0.028191598,0.263348101,0.138612245,0.355486667,adil14384,04-09-17,14:06:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID904707355891212288,0,0,1,1,1,0,0,0,0,0,0,0
0.312550928,0.361462999,0.325986073,-1,0,-1,ID904970719469043713,98.16844171,4843.931321,0.008747661,0.736000405,0.186401605,230.663811,136.980756,225.7928459,67.84024237,135.1986076,57.76648309,55.09647978,135.6224326,57.86832678,54.54245174,135.7624057,57.15424298,53.74712999,136.2369826,53.73994652,52.28408356,145.4061152,45.57814692,40.31246677,0.177517603,0.02749381,1.389857977,0.040822032,0.035529024,0.1535155,0.036626962,0.251232658,0.138515281,0.337571729,teatattler,05-09-17,7:33:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,1,0,0,0,0,1,0,1,3,0,6,2,0,2,2,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,4,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,2,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID904970719469043713,1,0,0,1,0,0,0,1,0,1,0,0
0.312991618,0.360562676,0.326445706,-1,0,-1,ID905119416806817793,98.16844171,4843.931321,0.008747661,0.736000405,0.186401605,230.663811,136.980756,225.7928459,67.84024237,135.1986076,57.76648309,55.09647978,135.6224326,57.86832678,54.54245174,135.7624057,57.15424298,53.74712999,136.2369826,53.73994652,52.28408356,145.4061152,45.57814692,40.31246677,0.177517603,0.02749381,1.389857977,0.040822032,0.035529024,0.1535155,0.036626962,0.251232658,0.138515281,0.337571729,teatattler,05-09-17,17:24:19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,6,2,1,0,0,0,1,5,0,4,3,0,0,1,6,0,1,2,0,0,1,0,1,0,0,1,4,0,0,0,0,7,2,1,1,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID905119416806817793,0,0,0,0,0,0,0,1,0,0,0,0
0.332291418,0.321133465,0.346575117,-1,1,-1,ID905505940064976896,77.7550628,3836.185131,0.030063729,0.537087722,0.092165471,182.7328296,108.5626069,178.8473363,53.72880083,107.021167,45.79245403,43.6695115,107.4181316,45.81993353,43.20227063,107.4871921,45.34308998,42.51417175,107.8296467,42.57486838,41.46298177,115.1539252,36.11402511,31.96110972,0.139589357,0.015524913,1.07296693,0.061485289,-0.020080304,0.169849751,0.086208392,0.180020445,0.137945344,0.23227121,adil14384,06-09-17,19:00:14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,2,1,1,0,0,2,2,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID905505940064976896,0,0,10,32,1,2,5,19,10,22,0,0
0.445760276,0.242044119,0.312195605,-1,-1,-1,ID907655992761917441,106.5442406,5257.418937,1.48E-06,0.817616125,0.225067565,250.3303376,148.6409863,245.0550243,73.63029782,146.760073,62.67953836,59.78507093,147.1949191,62.81189436,59.19543331,147.3639883,62.00046868,58.35611702,147.8927763,58.32108172,56.72408206,157.8188695,49.46136395,43.73910609,0.193079915,0.032404759,1.519881315,0.032343705,0.058346047,0.146813405,0.016283241,0.280451691,0.138749131,0.380777509,PandePaarth,12-09-17,17:23:46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,4,2,2,2,0,0,3,1,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ID907655992761917441,0,0,0,2,0,0,0,3,2,2,0,0
0.407893592,0.270839072,0.321267336,-1,-1,-1,ID907656697170214912,106.5443545,5257.42456,1.36E-06,0.817617235,0.225068091,250.330605,148.6411449,245.0552863,73.63037657,146.7602302,62.67960518,59.7851347,147.1950765,62.8119616,59.19549659,147.3641461,62.00053459,58.3561797,147.8929348,58.32114403,56.72414245,157.8190383,49.46141676,43.73915269,0.193080126,0.032404826,1.519883084,0.03234359,0.058346358,0.146813314,0.016282965,0.280452088,0.138749135,0.380778097,PandePaarth,12-09-17,17:26:34,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,2,1,0,0,0,0,1,1,3,2,3,2,1,1,5,0,0,0,0,0,2,0,2,0,2,0,5,0,0,0,0,3,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,ID907656697170214912,0,0,0,1,0,0,0,1,0,1,0,0
0.388525997,0.296268932,0.315205071,-1,-1,-1,ID907656912946135041,106.5127993,5255.866781,3.43E-05,0.817309755,0.22492242,250.2565131,148.5972159,244.9827176,73.60856302,146.7166733,62.66109565,59.76747083,147.1514781,62.79333712,59.17796687,147.3204381,61.98227685,58.33881573,147.8490226,58.30388498,56.70741513,157.7722743,49.44678707,43.72624311,0.193021497,0.032386324,1.519393232,0.032375531,0.058260397,0.146838563,0.016359608,0.280342008,0.138748254,0.380615322,PandePaarth,12-09-17,17:27:26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,6,5,0,0,1,0,4,1,1,4,1,0,2,0,2,1,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,4,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID907656912946135041,0,0,2,4,0,1,0,3,0,2,0,0
0.373318506,0.282234172,0.344447322,-1,-1,-1,ID907970519848194049,106.3702714,5248.830613,0.000183143,0.81592093,0.224264456,249.921855,148.3987981,244.6549402,73.51003577,146.5199361,62.57749199,59.68768679,146.9545534,62.70921424,59.09878879,147.1230182,61.8998104,58.26038629,147.6506802,58.22592948,56.6318613,157.561051,49.38070779,43.66793325,0.192756679,0.032302757,1.517180672,0.032519804,0.057872128,0.14695261,0.01670579,0.279844798,0.138744274,0.379880105,PandePaarth,13-09-17,14:13:35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,3,1,2,0,0,0,3,1,0,1,0,0,4,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,1,0,0,2,2,0,3,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,ID907970519848194049,0,0,2,2,0,0,0,0,0,0,0,0
0.332291418,0.321133465,0.346575117,-1,1,-1,ID908129129634992128,78.87232549,3891.340979,0.02889706,0.547974588,0.097323192,185.3561825,110.1179858,181.4167525,54.50114662,108.5633715,46.4478152,44.29493101,108.9618061,46.4793648,43.82294011,109.0347479,45.98953664,43.12897272,109.3844337,43.18595414,42.05524106,116.8096846,36.63201433,32.41819523,0.141665242,0.016179993,1.090310974,0.06035435,-0.017036701,0.168955746,0.083494707,0.183918024,0.137976538,0.238034506,ThinkingHawk,14-09-17,0:43:51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,1,0,3,3,2,0,2,0,4,1,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,4,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ID908129129634992128,0,0,1,1,0,0,0,2,0,0,0,0
0.332291418,0.321133465,0.346575117,-1,1,-1,ID908171349130067968,78.87232549,3891.340979,0.02889706,0.547974588,0.097323192,185.3561825,110.1179858,181.4167525,54.50114662,108.5633715,46.4478152,44.29493101,108.9618061,46.4793648,43.82294011,109.0347479,45.98953664,43.12897272,109.3844337,43.18595414,42.05524106,116.8096846,36.63201433,32.41819523,0.141665242,0.016179993,1.090310974,0.06035435,-0.017036701,0.168955746,0.083494707,0.183918024,0.137976538,0.238034506,adil14384,14-09-17,3:31:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,ID908171349130067968,0,0,7,8,2,0,1,12,1,1,0,0
