user_id,yr,week,count,fposemo,fnegemo,fposemoji,fnegemoji,fperiod,fqmark,fexclaim,f3dots,fdeg_adv,fadv_cnt,ffct1,ffct2,ffct3,ffct4,ffct5,ffct6,ffct7,ffct8,ffct9,ffct10,ffct11,ffct12,ffct13,ffct14,ffct15,fsat_mean,fsat_contrast,fbrit_mean,fbrit_contrast,fwarm_cool,fclear_dull,freplies_cnt,fretweets_cnt,flikes_cnt,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,pos,neg,neu,rfamily,rfriend,rposemo,raffect,rleisure,rsad,rdeath,rauxverb,ranger,rnegemo,rposemoji,rnegemoji,label,puser_id,pyr,pweek,pcount,pfunction,ppronoun,pppron,pi,pwe,pyou,pshehe,pthey,pipron,particle,pprep,pauxverb,padverb,pconj,pnegate,pverb,padj,pcompare,pinterrog,pnumber,pquant,paffect,pposemo,pnegemo,panx,panger,psad,psocial,pfamily,pfriend,pfemale,pmale,pcogproc,pinsight,pcause,pdiscrep,ptentat,pcertain,pdiffer,ppercept,psee,phear,pfeel,pbio,pbody,phealth,psexual,pingest,pdrives,paffiliation,pachieve,ppower,preward,prisk,pfocuspast,pfocuspresent,pfocusfuture,prelativ,pmotion,pspace,ptime,pwork,pleisure,phome,pmoney,prelig,pdeath,pinformal,pswear,pnetspeak,passent,pnonflu,pfiller,pperiod,pcomma,pcolon,psemic,pqmark,pexclaim,pdash,pquote,papostro,p3dots,pparenth,pposemoji,pnegemoji,pneuemoji,ppos,pneg,pneu
aavishhkar,2017,37,82,30.72470312,11.37472767,22.65954132,1.57020794,123.1284205,4.520825623,12.11611239,2.750113583,2.600465853,15.65279901,3547.026965,4010.978364,12797.77256,4600.09009,4729.413849,11992.57626,4731.965038,5028.061626,11949.84182,4800.280811,5093.474175,11936.31423,4848.219784,5082.973418,11900.78414,5970.805817,19872.02231,12053.87824,20299.92753,18.00892537,66.10181188,0.101145053,426332.3235,8639.882238,82,6.15,27,6,481,529,1134,300,530,1131,485,602,1130,312,334,1332,447,689,1067,688.9766344,1529,1002.087169,1529,2.058974458,3.953380929,72,0,2475,4944,59,3,11,0,0,0,0,7,6,3,8,8,8,2,2,0,3,14,11,1,8,0,1,0,0,0,0,6,11,5,18,404,106,51,12,3,13,17,6,57,34,156,110,73,62,25,157,67,34,17,12,41,90,70,21,4,5,8,81,0,4,2,18,112,20,17,15,20,23,36,27,11,14,2,9,3,2,0,2,94,19,21,31,38,7,26,130,21,138,10,60,80,39,45,1,13,4,0,22,0,10,11,4,0,36,14,49,26,7,77,13,10,22,11,14,33,4,0,40,10,32,0,0,0,0,0,0,0,0,0,0,33,4,1,aavishhkar,2017,36,91,372,113,63,29,2,16,13,3,51,35,137,96,44,29,29,155,69,26,10,13,40,84,61,23,6,2,11,95,6,1,3,22,111,15,22,18,19,38,24,26,13,7,5,12,4,1,0,2,103,28,32,34,32,9,32,113,35,148,14,71,87,53,48,0,31,0,2,30,1,21,9,3,0,82,34,97,16,8,68,14,17,29,13,74,81,3,0,50,8,33
aavishhkar,2017,38,80,29.89176607,11.09684305,22.05036398,1.57125215,119.873841,4.36643659,11.83355838,2.699433562,2.527542753,15.24092804,3453.887462,3905.640015,12461.6272,4479.306423,4605.203005,11677.5337,4607.638108,4896.054041,11635.9464,4674.202563,4959.682916,11622.80501,4720.903429,4949.497281,11588.16282,5813.979234,19350.08843,11737.33192,19766.77499,17.49490862,64.33173896,0.115592014,415134.3458,8412.955757,80,8.5,25,6,41,737,541,254,872,370,389,990,560,158,883,565,170,696,786,650.7609059,1510,718.7664279,1511,1.428401987,4.15302546,62,0,7369,3837,71,2,24,0,0,0,0,4,6,1,8,4,5,6,1,2,6,16,5,9,4,3,0,0,0,0,0,7,24,2,23,368,101,49,27,2,8,6,6,55,41,118,97,62,61,27,143,58,28,7,13,25,82,63,18,2,4,6,66,2,5,2,13,114,19,22,24,32,21,34,33,17,9,7,8,3,0,0,2,75,19,23,31,19,6,29,111,23,107,10,45,62,19,37,5,6,1,0,22,1,11,7,2,0,40,22,42,14,4,65,6,2,31,14,6,77,2,0,54,9,17,0,0,2,2,0,0,0,3,0,0,77,2,1,aavishhkar,2017,37,82,404,106,51,12,3,13,17,6,57,34,156,110,73,62,25,157,67,34,17,12,41,90,70,21,4,5,8,81,0,4,2,18,112,20,17,15,20,23,36,27,11,14,2,9,3,2,0,2,94,19,21,31,38,7,26,130,21,138,10,60,80,39,45,1,13,4,0,22,0,10,11,4,0,36,14,49,26,7,77,13,10,22,11,14,33,4,0,40,10,32
aavishhkar,2017,39,83,29.86853787,11.50678187,22.10347831,2.16891367,120.9258502,3.92594074,12.45480076,3.025184174,2.492274529,15.40034389,3492.664459,3949.266706,12600.2254,4529.700995,4656.581136,11806.77412,4658.369988,4951.318997,11765.0629,4726.265552,5014.75616,11752.19923,4773.774693,5004.996588,11716.54982,5878.672017,19565.61843,11868.69728,19987.22284,17.12702115,64.58284309,0.351541839,419751.9626,8506.634865,83,6.5,18,2,127,278,66,127,269,66,126,289,49,125,308,32,125,252,66,231.0363605,510,176.1252178,510,0.123009757,1.565019119,65,0,2942,4905,69,3,22,0,0,0,1,9,4,12,12,2,0,2,0,4,0,2,7,7,15,0,6,0,0,0,0,2,22,5,14,321,129,78,34,1,22,17,4,51,25,119,70,47,32,18,134,56,32,9,13,34,75,65,8,1,1,2,91,2,3,5,19,95,26,9,10,26,15,25,30,17,10,2,12,4,4,0,0,77,25,19,27,16,5,24,103,18,117,10,58,62,26,32,0,8,1,0,21,1,16,8,0,0,55,39,32,24,8,35,9,4,52,3,9,74,0,0,59,4,20,0,0,1,1,0,0,0,3,0,0,74,0,1,aavishhkar,2017,38,80,368,101,49,27,2,8,6,6,55,41,118,97,62,61,27,143,58,28,7,13,25,82,63,18,2,4,6,66,2,5,2,13,114,19,22,24,32,21,34,33,17,9,7,8,3,0,0,2,75,19,23,31,19,6,29,111,23,107,10,45,62,19,37,5,6,1,0,22,1,11,7,2,0,40,22,42,14,4,65,6,2,31,14,6,77,2,0,54,9,17
aavishhkar,2017,40,141,51.1734576,19.55000881,37.8420622,3.480692482,206.7311079,6.89799974,21.09099936,5.054213995,4.283072524,26.31796705,5967.657071,6747.905755,21529.58014,7739.523775,7956.481362,20174.08404,7959.799334,8459.836872,20102.68202,8075.580825,8568.579002,20080.53773,8156.645938,8551.693748,20019.86626,10044.67705,33430.98867,20279.32328,34151.25985,29.48274061,110.5308263,0.509559338,717215.8288,14534.95727,138,10.25,29,7,498,953,789,628,958,787,790,834,1190,510,706,954,650,944,791,648.2424247,1785,1011.731855,1784,1.302499932,5.368055624,96,0,15612,7777,146,5,53,0,0,0,5,5,16,15,2,18,6,0,2,5,6,4,13,1,11,3,29,0,0,0,0,7,53,8,18,528,188,100,43,1,29,14,13,91,39,204,130,65,74,33,210,132,65,15,17,53,143,115,26,3,4,12,105,0,5,1,15,138,21,13,35,38,33,37,45,25,12,4,27,3,6,3,7,144,34,60,52,36,13,45,158,51,202,18,95,114,53,81,1,19,0,1,45,1,31,15,2,0,111,82,57,33,10,27,10,15,33,15,26,160,5,0,98,12,31,0,0,1,1,1,0,0,0,0,0,160,5,1,aavishhkar,2017,39,83,321,129,78,34,1,22,17,4,51,25,119,70,47,32,18,134,56,32,9,13,34,75,65,8,1,1,2,91,2,3,5,19,95,26,9,10,26,15,25,30,17,10,2,12,4,4,0,0,77,25,19,27,16,5,24,103,18,117,10,58,62,26,32,0,8,1,0,21,1,16,8,0,0,55,39,32,24,8,35,9,4,52,3,9,74,0,0,59,4,20
aavishhkar,2017,41,91,33.82434791,12.62169806,24.9622257,1.870893291,135.8222179,4.873064653,13.4882121,3.105443796,2.854900399,17.27260887,3914.716654,4426.709068,14124.09595,5076.966748,5219.594168,13235.3,5222.249653,5549.347944,13188.2172,5297.785943,5621.325803,13173.38843,5350.761855,5609.865022,13134.02823,6589.609579,21931.57576,13303.30225,22403.89522,19.74157705,72.84198756,0.167424668,470516.2648,9535.320349,91,10,25,1,101,252,86,103,251,63,107,255,36,104,249,41,102,252,89,170.982913,255,119.9771472,255,0.014009065,0.724703698,69,0,5121,4093,65,4,34,0,0,0,1,9,0,4,14,2,1,5,2,3,1,14,4,4,24,3,0,0,0,0,0,1,34,4,10,410,117,69,32,1,13,15,9,48,35,156,92,52,66,26,169,68,19,10,8,35,83,57,25,7,8,5,90,2,3,6,14,139,22,23,21,37,31,34,27,11,11,4,11,4,1,2,0,94,27,29,37,14,8,32,108,36,132,19,56,68,37,52,1,15,0,0,33,1,26,8,2,0,78,18,48,20,9,33,11,4,23,10,20,60,1,0,43,12,36,0,0,0,0,0,0,0,0,0,0,60,1,1,aavishhkar,2017,40,141,528,188,100,43,1,29,14,13,91,39,204,130,65,74,33,210,132,65,15,17,53,143,115,26,3,4,12,105,0,5,1,15,138,21,13,35,38,33,37,45,25,12,4,27,3,6,3,7,144,34,60,52,36,13,45,158,51,202,18,95,114,53,81,1,19,0,1,45,1,31,15,2,0,111,82,57,33,10,27,10,15,33,15,26,160,5,0,98,12,31
aavishhkar,2017,42,88,32.91730345,12.20672416,24.2799903,1.711256658,131.9706491,4.822282419,13.01127393,2.962241795,2.784429947,16.77811766,3802.159972,4299.472023,13718.23615,4930.973644,5069.578661,12855.09626,5072.280714,5389.737893,12809.3046,5145.538638,5459.811576,12794.82459,5196.939559,5448.5817,12756.70891,6400.249907,21301.30778,12920.87804,21760.00328,19.27693968,70.83359836,0.119790674,456995.76,9261.300171,88,4.8,16,2,173,86,63,172,93,65,62,261,231,63,199,235,69,40,476,187.9588125,510,211.8522446,509,0.389225326,1.635091263,70,0,42817,6038,93,4,24,0,0,0,0,9,8,6,11,3,5,2,6,1,3,4,0,3,11,4,12,0,0,0,0,2,24,2,13,382,106,58,22,2,25,5,4,49,32,132,96,63,63,25,149,73,31,10,20,30,113,100,12,1,4,8,78,9,3,3,9,87,10,12,23,19,22,20,45,30,14,1,14,5,3,0,1,93,26,30,30,31,1,34,125,44,152,12,69,90,31,48,10,2,2,0,16,0,14,6,0,0,66,12,28,15,3,27,8,2,25,30,8,125,2,0,67,7,14,0,0,0,1,1,0,0,1,1,1,125,2,1,aavishhkar,2017,41,91,410,117,69,32,1,13,15,9,48,35,156,92,52,66,26,169,68,19,10,8,35,83,57,25,7,8,5,90,2,3,6,14,139,22,23,21,37,31,34,27,11,11,4,11,4,1,2,0,94,27,29,37,14,8,32,108,36,132,19,56,68,37,52,1,15,0,0,33,1,26,8,2,0,78,18,48,20,9,33,11,4,23,10,20,60,1,0,43,12,36
aavishhkar,2017,43,52,19.40324129,7.212805059,14.3148784,1.033747642,77.83852855,2.824238398,7.695909159,1.759813628,1.639901299,9.897091803,2242.932545,2536.292652,8092.471214,2908.835522,2990.582039,7583.273077,2992.147834,3179.473194,7556.274463,3035.387841,3220.772469,7547.750344,3065.72164,3214.170455,7525.239661,3775.547716,12565.78475,7622.139212,12836.38389,11.34805861,41.76574815,0.080480329,269584.608,5463.302093,52,0.433333333,13,5,184,413,740,290,795,413,316,771,655,425,717,367,296,755,669,699.845633,1020,688.5685342,1265,0.373091345,2.890765286,48,0,1368,4167,26,0,4,0,0,6,5,14,6,6,3,2,4,0,0,0,0,3,0,1,0,2,0,0,0,0,0,5,4,4,4,238,70,37,23,2,3,6,3,34,12,90,67,36,36,15,99,38,15,10,4,26,30,27,4,2,1,1,26,1,1,1,8,68,7,9,9,15,24,15,8,4,3,1,1,0,1,0,0,45,4,18,15,18,1,30,74,20,118,6,48,79,25,23,0,12,3,0,2,0,2,0,0,0,26,20,30,8,5,20,11,7,16,21,22,85,2,0,35,1,16,0,0,0,0,0,0,0,0,0,0,85,2,1,aavishhkar,2017,42,88,382,106,58,22,2,25,5,4,49,32,132,96,63,63,25,149,73,31,10,20,30,113,100,12,1,4,8,78,9,3,3,9,87,10,12,23,19,22,20,45,30,14,1,14,5,3,0,1,93,26,30,30,31,1,34,125,44,152,12,69,90,31,48,10,2,2,0,16,0,14,6,0,0,66,12,28,15,3,27,8,2,25,30,8,125,2,0,67,7,14
aavishhkar,2017,44,40,15.23214007,5.549970887,11.21877075,0.6508401,60.79838152,2.334390974,5.872374906,1.293544191,1.296308548,7.723571087,1749.646703,1978.548005,6313.053484,2269.070128,2332.95351,5915.991538,2334.355592,2480.135368,5894.838715,2367.929303,2512.594738,5888.075247,2391.515665,2507.299763,5870.681136,2945.351246,9802.664501,5945.920046,10013.68676,9.003633073,32.70660903,-0.000151232,210306.7077,4261.971179,40,0.5,13,7,342,87,1518,222,82,1282,372,348,1039,397,320,1284,267,47,1295,554.3532628,1785,987.8273113,1780,2.052387789,5.47587196,40,0,2925,6295,28,0,1,0,0,0,1,8,1,6,4,5,3,0,0,2,0,2,1,2,2,2,1,0,0,0,0,7,1,0,3,190,32,10,4,1,0,5,0,22,31,76,41,35,33,8,70,32,12,4,10,15,51,35,16,1,3,5,23,0,1,0,7,44,6,10,7,8,10,9,20,17,1,2,6,1,4,0,0,38,4,12,16,18,3,15,61,16,107,11,37,68,17,17,0,6,3,1,5,0,4,0,1,0,22,12,23,4,0,21,4,2,20,18,8,87,0,0,27,7,6,0,0,2,2,0,0,0,2,0,0,87,0,1,aavishhkar,2017,43,52,238,70,37,23,2,3,6,3,34,12,90,67,36,36,15,99,38,15,10,4,26,30,27,4,2,1,1,26,1,1,1,8,68,7,9,9,15,24,15,8,4,3,1,1,0,1,0,0,45,4,18,15,18,1,30,74,20,118,6,48,79,25,23,0,12,3,0,2,0,2,0,0,0,26,20,30,8,5,20,11,7,16,21,22,85,2,0,35,1,16
aavishhkar,2017,45,56,20.82536824,7.767255016,15.36839273,1.146429144,83.61415564,3.004293302,8.298827307,1.909004491,1.758042177,10.63303832,2409.880027,2725.062025,8694.734874,3125.354425,3213.159068,8147.601577,3214.799907,3416.148186,8118.614517,3261.294353,3460.46565,8109.482126,3293.903473,3453.405528,8085.257817,4056.536051,13500.98416,8189.450183,13791.73948,12.15795652,44.8454556,0.100928338,289647.8563,5869.902647,55,1.5,14,4,8,382,278,298,644,280,321,396,290,144,350,283,144,355,286,348.9803675,1020,381.204993,1020,0.784654071,2.625764096,48,0,25957,4109,41,1,11,0,0,0,3,7,11,4,0,3,0,0,6,2,4,3,4,4,3,1,1,0,0,0,0,4,11,3,18,254,71,40,19,4,9,4,4,33,32,88,62,57,44,7,103,28,17,15,11,18,63,51,13,6,2,4,48,0,3,1,8,62,11,13,8,9,14,15,25,17,5,3,7,2,4,1,0,57,9,20,20,25,1,29,75,18,108,8,44,65,21,35,1,5,2,0,13,1,11,1,1,0,39,13,33,4,4,22,6,2,10,26,8,67,1,0,38,6,12,0,0,2,2,3,0,0,1,0,0,67,1,1,aavishhkar,2017,44,40,190,32,10,4,1,0,5,0,22,31,76,41,35,33,8,70,32,12,4,10,15,51,35,16,1,3,5,23,0,1,0,7,44,6,10,7,8,10,9,20,17,1,2,6,1,4,0,0,38,4,12,16,18,3,15,61,16,107,11,37,68,17,17,0,6,3,1,5,0,4,0,1,0,22,12,23,4,0,21,4,2,20,18,8,87,0,0,27,7,6
aavishhkar,2017,46,17,6.203597479,2.357275921,4.585341087,0.403767504,25.02658827,0.849496076,2.53765145,0.602750908,0.520234752,3.185243927,722.1812969,816.6104656,2605.460568,936.6021495,962.8703981,2441.4407,963.2921923,1023.765713,2432.789602,977.286027,1036.9525,2430.096996,987.0876495,1034.892856,2422.773387,1215.582959,4045.73224,2454.132584,4132.889283,3.584858603,13.39016161,0.054604602,86795.80509,1758.983983,17,0,3,4,212,282,689,209,311,761,232,273,734,55,306,736,170,356,505,454.1817933,1020,575.5951722,1016,0.59816704,2.203249312,15,0,247,978,11,0,3,0,0,0,3,4,2,1,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,3,0,7,59,17,5,1,1,1,1,1,12,9,23,15,9,8,4,21,9,5,2,6,4,15,12,3,0,1,0,9,0,1,0,1,14,1,1,3,4,4,3,3,2,0,1,4,3,0,0,0,23,6,8,8,6,1,1,23,5,22,3,8,13,7,9,1,2,0,0,7,0,7,1,0,0,13,3,11,5,0,8,3,0,8,3,2,17,0,0,11,2,4,0,0,0,0,0,0,0,0,0,0,17,0,1,aavishhkar,2017,45,56,254,71,40,19,4,9,4,4,33,32,88,62,57,44,7,103,28,17,15,11,18,63,51,13,6,2,4,48,0,3,1,8,62,11,13,8,9,14,15,25,17,5,3,7,2,4,1,0,57,9,20,20,25,1,29,75,18,108,8,44,65,21,35,1,5,2,0,13,1,11,1,1,0,39,13,33,4,4,22,6,2,10,26,8,67,1,0,38,6,12
